,date,tweet,target
0,2021-03-30 02:34:32,After the deluge: NSW's #flood disaster victims begin cleanup – in pictures #Australia #recovery https://t.co/YgQJNQoHfT,1
0,2021-03-30 02:35:53,⚠️ #Flood Warning updated for Barwon River.  Major flooding is likely at Mungindi next week.  See… https://t.co/GYVfUnjqik,1
0,2021-03-30 02:42:15,RT @SanjivValsan: Filed a complaint at #Aarey police. 5 acres land filling on floodplain+catchment of #mithiriver between old #Aareyforest…,1
0,2021-03-30 02:43:36,"RT @TheWatchers_: Destructive floods after near-record rains hit Nashville, claiming lives of 4 people, Tennessee https://t.co/1wdO0Jobwg #…",1
0,2021-03-30 02:51:07,RT @BOM_NSW: ⚠️Moderate #Flood Warning update for the #Paroo River (NSW) at #WillaraCrossing and #Wanaaring. Wanaaring is likely to exceed…,1
0,2021-03-30 02:51:10,RT @BobbyWTSP: A FLOOD ADVISORY is in effect until midnight tonight for southeastern Hillsborough Count y in the Ft Lonesome area where 1-3…,1
0,2021-03-30 03:00:08,River Ouse York water level: 3.04m at 02:15. Big chance of flooding! #Flood #York #Ouse,1
0,2021-03-30 03:07:41,RT @SanjivValsan: Filed a complaint at #Aarey police. 5 acres land filling on floodplain+catchment of #mithiriver between old #Aareyforest…,1
0,2021-03-30 03:29:52,RT @SanjivValsan: Filed a complaint at #Aarey police. 5 acres land filling on floodplain+catchment of #mithiriver between old #Aareyforest…,1
0,2021-03-30 03:31:34,RT @SanjivValsan: Filed a complaint at #Aarey police. 5 acres land filling on floodplain+catchment of #mithiriver between old #Aareyforest…,0
